L1-APD1,L1-APD2,L2-APD1,L2-APD2,L3-APD1,L3-APD2,L4-APD1,L4-APD2
-0.0021401367187494844,0.0019877929687500753,-0.0025795898437494316,-0.02492431640625084,-0.0018735351562495159,0.0019321289062500732,-0.002162109374999492,-0.030569824218749382
-0.0023964843749994733,0.002003906250000076,-0.0019189453124996633,-0.02487744140625065,-0.002515136718749464,0.002037597656250077,-0.0018984374999994821,-0.030436523437499377
-0.002575195312499494,0.002003906250000076,-0.0019995117187496733,-0.02481152343750078,-0.0026923828124994775,0.002011230468750076,-0.0018398437499995285,-0.030424804687499377
-0.0015908203124994635,0.002033203125000077,-0.001776855468749651,-0.024603515625000898,-0.0021386718749994912,0.0019731445312500748,-0.001977539062499513,-0.03126123046874941
-0.0021621093749994436,0.0019716796875000747,-0.001839843749999709,-0.024644531250000927,-0.0023569335937494787,0.0020654296875000783,-0.0024404296874995096,-0.030663574218749386
-0.0023232421874994844,0.002056640625000078,-0.0028754882812494706,-0.024691406250000804,-0.0022324218749994462,0.0020141601562500763,-0.00239355468749948,-0.03050537109374938
-0.0015937499999994914,0.0020214843750000766,-0.002349609374999659,-0.024544921875000916,-0.0022778320312494896,0.0019921875000000755,-0.002047851562499467,-0.031122070312499403
-0.0020566406249994534,0.002006835937500076,-0.002339355468749617,-0.024999023437500663,-0.002329101562499457,0.001955566406250074,-0.0017871093749995196,-0.03047167968749938
-0.0022880859374994483,0.002009765625000076,-0.0018588867187496333,-0.024708984375000922,-0.0019790039062494713,0.0020405273437500773,-0.0020332031249994803,-0.030389648437499375
-0.0018530273437494943,0.001976074218750075,-0.002037597656249633,-0.024703125000000825,-0.002367187499999465,0.002031738281250077,-0.002157714843749485,-0.030921386718749395
-0.0025122070312494846,0.0019716796875000747,-0.002444824218749496,-0.024829101562500865,-0.002567871093749473,0.0019731445312500748,-0.0022280273437495016,-0.03078369140624939
-0.0024477539062494613,0.0019965820312500757,-0.001901367187499614,-0.024771972656250932,-0.0027333984374995138,0.001979003906250075,-0.0016435546874994517,-0.030183105468749367
-0.0017958984374994713,0.0019907226562500754,-0.0025854492187494804,-0.02484521484375088,-0.001995117187499465,0.0020170898437500764,-0.0019467773437495048,-0.03052734374999938
-0.0025019531249994773,0.0020185546875000765,-0.0023466796874996657,-0.024673828125000907,-0.0022426757812494882,0.0019995117187500758,-0.001995117187499465,-0.030326660156249373
-0.0023261718749994637,0.002011230468750076,-0.0020507812499996267,-0.024821777343750864,-0.0025385742187494717,0.0020390625000000773,-0.0019028320312494823,-0.03052587890624938
-0.0018911132812494819,0.001976074218750075,-0.00234814453124961,-0.024763183593750925,-0.002705566406249471,0.0020170898437500764,-0.002156249999999478,-0.03079248046874939
-0.0027524414062494867,0.0020507812500000777,-0.0020244140624996257,-0.02479101562500073,-0.0019350585937494974,0.0019687500000000746,-0.0025942382812495085,-0.03020800781249937
-0.0018881835937494817,0.001976074218750075,-0.0018149414062496663,-0.02475585937500075,-0.0026704101562494975,0.0020141601562500763,-0.00166113281249948,-0.030355957031249374
