L1-APD1,L1-APD2,L2-APD1,L2-APD2,L3-APD1,L3-APD2,L4-APD1,L4-APD2
-0.02104125976562507,-0.01968322753906252,-0.050705566406250055,0.11244201660156254,-0.0007192993164062654,-0.000237121582031272,-0.0029473876953125273,-0.006198730468750021
-0.021239624023437535,-0.019807739257812505,-0.050520935058593855,0.11233612060546878,-0.0007781982421875156,-5.432128906251131e-05,-0.0028302001953125107,-0.006155090332031293
-0.02078277587890629,-0.02027954101562507,-0.05058807373046878,0.11259918212890636,-0.0009579467773437721,-0.0002081298828125397,-0.0028109741210937712,-0.0062170410156250164
-0.02085693359375003,-0.019675903320312563,-0.05077972412109386,0.11196289062500003,-0.0007653808593750169,-0.0001031494140625415,-0.0029232788085937593,-0.006189880371093772
-0.020881958007812527,-0.01920318603515625,-0.05112335205078136,0.11390563964843765,-0.0007040405273437585,-0.00015563964843752498,-0.0027767944335937694,-0.00618347167968753
-0.02078552246093755,-0.019709777832031268,-0.051147766113281326,0.1133499145507813,-0.0008895874023437684,-0.00014373779296879448,-0.0027871704101562825,-0.006179199218750013
-0.020754394531250046,-0.02125885009765631,-0.05076721191406258,0.11231842041015633,-0.0009222412109375147,-0.0001367187500000127,-0.002870178222656285,-0.006227416992187533
-0.02122344970703128,-0.02022552490234376,-0.05077819824218756,0.1122515869140627,-0.0007427978515625218,-0.0001858520507812822,-0.0028390502929687596,-0.006264038085937519
-0.020784301757812547,-0.01953704833984378,-0.05099884033203128,0.11197174072265634,-0.0007904052734375167,-0.0001519775390625283,-0.002956848144531274,-0.006204223632812519
-0.021061401367187566,-0.020777893066406285,-0.05130462646484387,0.11239562988281258,-0.0007928466796875144,-0.00022552490234377734,-0.0026699829101562607,-0.006204528808593759
-0.021188964843750026,-0.020173950195312557,-0.050762634277343816,0.11253448486328134,-0.0008142089843750297,-0.00010986328125002671,-0.002906494140625021,-0.006190185546875003
-0.021080627441406277,-0.020696411132812488,-0.05029693603515635,0.11106903076171895,-0.0009594726562500225,-0.00023559570312502685,-0.0028073120117187676,-0.006144714355468785
-0.020270385742187536,-0.020203857421875006,-0.05091522216796882,0.11159271240234378,-0.0008523559570312658,-0.0002276611328125202,-0.0028704833984375296,-0.006155090332031269
-0.020721435546875007,-0.020220947265625015,-0.05021392822265631,0.11330261230468759,-0.00081909179687502,-0.00023345947265627706,-0.0027932739257812665,-0.00603088378906253
-0.02046142578125002,-0.0206610107421875,-0.05043395996093758,0.1141098022460938,-0.000807189941406267,-0.00010284423828127096,-0.0027062988281250228,-0.0061193847656250185
-0.020535888671875054,-0.021330566406250022,-0.05044067382812506,0.1111141967773438,-0.0008505249023437814,-0.00014587402343751651,-0.0026980590820312803,-0.006199951171875023
-0.020295104980468742,-0.02095275878906251,-0.05010192871093758,0.11220642089843755,-0.0008322143554687616,-4.8522949218792605e-05,-0.00284088134765627,-0.006098937988281277
-0.020516052246093763,-0.01906463623046878,-0.0507223510742188,0.11136962890625011,-0.00088439941406253,-8.636474609378074e-05,-0.002897033691406266,-0.006151123046875033
-0.020762634277343782,-0.020527954101562544,-0.05057708740234387,0.11236938476562511,-0.000674133300781277,-0.00012268066406251853,-0.0028588867187500366,-0.006114196777343784
-0.02053741455078127,-0.020952148437500012,-0.05060058593750008,0.11158874511718761,-0.0008175659179687662,-0.00015350341796879427,-0.003221435546875021,-0.00636779785156252
-0.020665283203125072,-0.021103515624999993,-0.05064025878906259,0.11084930419921886,-0.000754089355468765,-7.690429687504628e-05,-0.0027066040039062725,-0.006136779785156282
-0.02053955078125001,-0.021704406738281286,-0.05038330078125006,0.11151367187500007,-0.000799560546875017,-1.800537109379434e-05,-0.0027172851562500076,-0.006105346679687521
-0.020553894042968736,-0.021862182617187545,-0.05042694091796889,0.1123199462890627,-0.00065887451171877,-0.00022430419921878365,-0.002891235351562523,-0.0061376953125000435
-0.02057769775390629,-0.021189575195312525,-0.05038360595703134,0.1113681030273438,-0.0008453369140625101,-0.00023071289062502782,-0.003055419921875021,-0.0060983276367187825
