44.73,28.43,17.09,nan,64.80,108.64,78.15,59.63
46.58,33.35,18.26,nan,65.09,108.78,78.49,59.77
32.49,27.19,22.01,4.28,81.64,93.70,69.65,79.74
33.29,23.71,17.91,nan,81.70,93.79,69.59,79.63
37.43,41.18,48.77,36.57,114.56,149.20,124.63,105.54
39.43,44.40,49.63,19.57,115.01,156.68,124.46,105.70
30.71,32.41,16.53,nan,64.71,104.85,74.68,55.35
28.55,27.34,11.46,nan,64.86,105.33,75.25,55.23
44.84,49.44,44.10,7.45,93.38,131.59,101.73,82.69
45.30,48.39,45.83,5.49,93.98,132.02,103.34,82.63
41.94,52.14,42.70,nan,94.37,132.79,105.08,82.96
46.85,50.81,44.71,nan,95.09,133.61,106.82,82.91
51.21,55.17,44.67,40.90,122.81,119.00,157.88,143.82
52.71,57.26,45.16,43.63,122.50,118.78,159.42,143.76
59.46,64.58,77.15,72.92,20.81,16.57,61.54,42.11
59.59,67.94,75.62,70.71,21.53,17.08,61.22,42.29
60.52,60.50,73.80,72.08,20.52,17.62,61.86,42.36
43.01,nan,39.24,nan,86.84,128.39,142.00,84.20
44.55,nan,39.22,nan,86.96,127.58,140.63,84.44
44.29,nan,42.35,nan,91.11,132.25,153.75,97.68
44.74,nan,42.05,nan,90.81,132.37,153.03,97.26
65.27,83.17,81.98,46.72,119.22,170.59,176.23,133.79
69.08,84.32,80.95,46.11,118.55,172.01,176.51,133.46
70.39,84.82,84.31,44.44,124.74,nan,169.22,143.86
56.65,64.61,53.86,nan,82.76,131.62,156.29,99.31
54.84,66.06,56.65,nan,82.76,131.47,155.70,99.11
56.97,71.25,54.17,nan,82.58,131.18,156.88,98.90
56.82,66.02,53.77,nan,82.99,131.16,156.02,99.38
56.45,68.80,54.26,nan,82.83,131.83,155.95,99.57
56.65,69.52,54.75,nan,83.32,131.46,155.75,99.87
57.71,68.87,56.20,nan,82.98,132.40,156.19,98.99
55.61,66.48,56.33,nan,83.32,132.85,155.54,99.41
56.10,66.67,55.80,nan,82.64,130.97,155.62,99.37
44.87,32.41,37.76,11.16,89.78,101.58,75.20,87.87
41.55,42.72,39.35,32.45,90.56,101.75,75.69,88.47
39.90,33.02,38.10,24.65,107.97,121.35,94.49,106.58
39.73,38.72,40.43,23.26,108.45,121.41,95.04,106.10
38.93,27.29,39.52,25.37,108.88,121.59,95.86,106.17
62.99,60.28,53.83,44.36,105.11,120.17,94.33,103.46
62.71,59.84,55.54,47.77,105.21,120.05,94.34,103.48
60.55,56.27,54.68,45.09,105.26,120.12,94.19,103.44
62.18,58.31,55.24,49.73,105.21,120.00,94.23,103.45
61.40,60.68,53.05,48.19,105.22,120.34,94.23,103.39
58.73,47.23,35.02,nan,68.07,108.87,80.48,57.33
58.05,51.97,37.54,nan,68.27,109.22,80.68,57.32
55.81,51.72,32.03,nan,70.22,111.28,107.42,59.67
55.53,50.96,32.44,nan,70.41,111.51,107.75,59.74
56.92,53.55,37.26,19.39,52.67,92.67,87.20,42.87
57.43,50.83,36.97,nan,52.75,92.93,87.20,42.81
53.98,52.96,34.67,nan,95.90,132.07,151.95,94.32
51.20,55.66,38.49,27.52,95.47,132.45,152.67,94.25
53.47,54.76,25.22,9.21,88.45,123.34,120.21,102.11
52.05,52.87,26.20,nan,88.81,123.14,120.19,102.20
51.35,51.85,24.86,nan,88.56,123.07,120.32,102.26
29.04,22.86,4.53,nan,87.22,109.74,100.61,94.62
32.05,18.54,9.49,nan,86.53,109.52,101.79,93.86
34.68,23.07,9.92,nan,86.55,109.55,101.54,93.97
31.81,23.69,5.35,5.03,88.06,115.43,108.88,94.47
30.77,24.46,nan,nan,89.25,117.05,102.76,92.62
43.30,31.36,26.38,18.67,71.82,86.29,71.71,92.38
33.71,18.52,9.33,5.47,82.38,114.87,126.15,96.31
32.87,30.96,nan,4.40,82.60,114.42,109.89,91.89
28.80,25.41,nan,nan,87.25,116.31,102.92,92.74
33.08,28.30,nan,nan,87.42,116.49,102.72,92.64
50.62,47.91,63.57,21.72,90.09,119.12,46.24,105.12
36.31,18.52,13.27,nan,82.83,108.19,85.35,93.99
59.18,51.06,58.82,52.41,61.52,105.58,136.06,71.60
58.47,49.43,57.74,51.02,62.04,110.61,137.81,67.30
63.86,41.45,62.72,47.94,64.96,135.93,77.35,59.56
63.65,47.58,63.35,49.37,64.88,134.86,77.19,61.28
61.53,52.44,63.19,49.58,65.24,135.17,76.72,61.99
56.50,44.08,59.73,46.36,42.51,100.13,80.13,35.49
73.87,67.57,76.23,68.84,70.34,89.69,82.17,104.98
74.25,67.83,77.60,70.26,68.70,87.01,82.39,104.93
72.67,65.38,74.28,70.48,68.66,86.56,81.68,105.20
68.46,55.29,70.00,57.01,56.78,83.90,64.00,86.51
68.95,53.47,67.46,57.68,57.07,84.00,64.10,86.67
69.82,52.59,68.03,53.97,57.21,84.25,63.95,86.45
73.59,69.46,74.37,72.14,56.82,78.48,64.96,81.70
89.98,88.27,85.67,90.05,63.33,93.82,77.37,75.97
86.39,89.94,90.15,90.16,61.79,95.30,77.04,74.40
84.22,88.10,88.83,87.32,62.50,96.03,80.09,73.61
87.89,89.28,88.54,89.56,63.25,94.76,78.74,74.73
90.39,88.43,86.31,89.17,63.53,86.98,84.09,75.54
87.45,85.97,91.34,87.35,62.12,87.92,84.86,73.59
