L1-APD1,L1-APD2,L2-APD1,L2-APD2,L3-APD1,L3-APD2,L4-APD1,L4-APD2
-0.0019277343749994763,0.002062500000000078,-0.0017929687499998806,-0.030921386718749395,-0.001895507812499475,0.002037597656250077,-0.001844238281249501,-0.05321044921875024
-0.0024243164062494674,0.002027343750000077,-0.0018134765624999091,-0.031104492187499402,-0.0024770507812494832,0.00211083984375008,-0.0017592773437495324,-0.053336425781250245
-0.002078613281249496,0.0020683593750000784,-0.001891113281249815,-0.031127929687499403,-0.001976074218749492,0.002053710937500078,-0.002411132812499474,-0.053317382812500244
-0.0017768554687494637,0.002085937500000079,-0.001782714843749901,-0.031113281249999403,-0.001973144531249478,0.002006835937500076,-0.002368652343749493,-0.053326171875000244
-0.0023833007812494797,0.002055175781250078,-0.0017753906249999216,-0.031246582031249408,-0.0024506835937494753,0.002003906250000076,-0.001823730468749521,-0.053312988281250244
-0.002153320312499485,0.0020976562500000795,-0.002055175781249939,-0.031177734374999405,-0.0025693359374994937,0.002090332031250079,-0.0019248046874995386,-0.05347265625000025
-0.0019643554687494916,0.0020668945312500783,-0.0020712890624995303,-0.031151367187499404,-0.0022661132812494614,0.0021210937500000804,-0.001788574218749478,-0.05341699218750025
-0.0019101562499995103,0.002033203125000077,-0.001967285156249887,-0.031190917968749406,-0.00231298828124947,0.0020917968750000793,-0.0017021484374995025,-0.05295849609375023
-0.002129882812499498,0.0020434570312500774,-0.0017915039062499014,-0.031119140624999403,-0.002438964843749475,0.0020478515625000776,-0.0019218749999995177,-0.05341406250000025
-0.0019833984374994784,0.0020654296875000783,-0.002509277343749561,-0.031160156249999404,-0.0021635742187494852,0.00211669921875008,-0.00179736328124952,-0.04927587890625009
-0.0018544921874994735,0.00210791015625008,-0.0018427734374998062,-0.031233398437499407,-0.0019277343749994902,0.002033203125000077,-0.0018940429687494958,-0.05324267578125024
-0.0019423828124994838,0.002053710937500078,-0.002430175781249551,-0.031091308593749402,-0.0018398437499994869,0.0021049804687500798,-0.002024414062499501,-0.05298486328125023
-0.001710937499999475,0.002059570312500078,-0.0018457031249999034,-0.03136816406249941,-0.002153320312499485,0.0020976562500000795,-0.002255859374999461,-0.05314013671875024
-0.002031738281249487,0.002053710937500078,-0.0020551757812498905,-0.031168945312499405,-0.00202148437499948,0.00211083984375008,-0.0023027343749994766,-0.05320898437500024
-0.001763671874999484,0.0020419921875000774,-0.002329101562499547,-0.031187988281249406,-0.0018222656249994931,0.0020932617187500793,-0.0016743164062494875,-0.05338476562500025
-0.0022983398437494695,0.00211669921875008,-0.002024414062499924,-0.03128173828124941,-0.0019526367187494634,0.0020698242187500784,-0.001954101562499505,-0.05348730468750025
-0.0019306640624994903,0.0021020507812500797,-0.0019921874999998535,-0.031192382812499406,-0.002175292968749472,0.0020991210937500795,-0.002206054687499473,-0.05354589843750025
-0.002100585937499476,0.002080078125000079,-0.0020288085937498618,-0.031218749999999407,-0.0019028320312494823,0.002135742187500081,-0.0022426757812494605,-0.05285742187500023
-0.002386230468749459,0.00210791015625008,-0.002269042968749524,-0.0310253906249994,-0.001896972656249489,0.002080078125000079,-0.001817871093749493,-0.05343164062500025
-0.001759277343749456,0.0020258789062500768,-0.0018266601562498888,-0.031240722656249408,-0.0023188476562494703,0.002090332031250079,-0.0018134765624994512,-0.05344042968750025
-0.0019951171874995066,0.0020683593750000784,-0.001989257812499909,-0.031186523437499405,-0.001869140624999488,0.002059570312500078,-0.002472656249999476,-0.05342138671875025
-0.001904296874999517,0.0020698242187500784,-0.0019306640624998928,-0.031183593749999405,-0.0018837890624994816,0.002062500000000078,-0.002121093749999546,-0.05354150390625025
-0.00247705078124949,0.002080078125000079,-0.0018603515624999387,-0.031248046874999408,-0.0024638671874994827,0.0020991210937500795,-0.0017270507812495173,-0.05324414062500024
-0.002280761718749476,0.0020390625000000773,-0.002340820312499603,-0.03126708984374941,-0.002198730468749459,0.0020712890625000785,-0.0021196289062494836,-0.053308593750000244
-0.0024506835937494614,0.002083007812500079,-0.001841308593749938,-0.0310620117187494,-0.00262939453124951,0.002160644531250082,-0.002416992187499474,-0.05320751953125024
-0.0025678710937494936,0.002055175781250078,-0.0019086914062498572,-0.031168945312499405,-0.0018896484374995165,0.0020507812500000777,-0.0021899414062495556,-0.05348876953125025
-0.0019350585937494627,0.0019907226562500754,-0.0018530273437498829,-0.031104492187499402,-0.0020126953124994865,0.0020712890625000785,-0.0019995117187495,-0.052807617187500225
-0.002654296874999469,0.0020405273437500773,-0.002242675781249537,-0.031218749999999407,-0.0023540039062494647,0.002033203125000077,-0.0016333007812494582,-0.053374511718750246
-0.002066894531249454,0.0020244140625000767,-0.002201660156249549,-0.03128759765624941,-0.0019145507812495036,0.002027343750000077,-0.0023261718749994706,-0.053365722656250246
-0.002058105468749488,0.002000976562500076,-0.0019291992187498927,-0.031182128906249405,-0.002545898437499472,0.0021547851562500817,-0.0019921874999994996,-0.05322070312500024
-0.002025878906249487,0.0020449218750000775,-0.0019218749999998647,-0.031199707031249406,-0.0017167968749994822,0.0020742187500000786,-0.0019438476562495047,-0.05341552734375025
-0.001983398437499506,0.002028808593750077,-0.001729980468749913,-0.03134472656249941,-0.002021484374999452,0.0020463867187500775,-0.002257324218749468,-0.05340820312500025
-0.0023759765624994794,0.0020419921875000774,-0.002324707031249533,-0.03129052734374941,-0.0021635742187494852,0.002081542968750079,-0.001747558593749518,-0.053362792968750246
-0.002282226562499476,0.002036132812500077,-0.002298339843749539,-0.031149902343749404,-0.00196289062499945,0.0020258789062500768,-0.0018618164062494946,-0.05343164062500025
-0.0025092773437494567,0.0020683593750000784,-0.0019672851562498386,-0.03133300781249941,-0.0018310546874995004,0.0020244140625000767,-0.00220898437499948,-0.053375976562500246
-0.0021357421874994773,0.0020126953125000763,-0.0018017578124999226,-0.03126269531249941,-0.002020019531249473,0.002085937500000079,-0.002293945312499504,-0.05324560546875024
-0.002102050781249483,0.0019951171875000756,-0.0023173828124995327,-0.031227539062499407,-0.001920410156249469,0.002005371093750076,-0.002519531249999492,-0.053349609375000245
