L1-APD1,L1-APD2,L2-APD1,L2-APD2,L3-APD1,L3-APD2,L4-APD1,L4-APD2
-0.0005784698486324897,-0.004357113647461006,-3.290710449204738e-05,-0.004651821899414041,0.07340424194335976,0.014115756225585783,0.004148352050781707,0.0582323181152334
-0.00045958862304652185,-0.004354412841796861,5.682373047003787e-06,-0.004649487304687542,0.0729320129394531,0.014018756103515637,0.004052175903320803,0.057846469116209734
-0.0004936462402340249,-0.004304882812499916,-7.044372558577452e-05,-0.004645596313476554,0.07299344482421886,0.013955264282226432,0.004078085327148901,0.05794566650390451
-0.0005488525390621923,-0.004335369873046933,-9.072265624982066e-05,-0.004608746337890692,0.07279697265624999,0.013951647949218618,0.004117773437500436,0.05655456848144513
-0.0004886566162106221,-0.004337475585937484,-4.75555419920462e-05,-0.004600460815429701,0.07294382324218829,0.014047549438476609,0.004027639770508293,0.05806454772949077
-0.0005101715087887171,-0.004297879028320304,-8.101806640610758e-05,-0.004628842163085961,0.07292381896972666,0.014039172363280932,0.004112829589844204,0.05796992797851455
-0.0005429016113277863,-0.004330654907226561,-4.705200195296872e-05,-0.004630352783203163,0.07265579833984401,0.013950595092773358,0.004118872070312979,0.05793330688476413
-0.0005375915527340569,-0.004342510986328119,-7.177124023421879e-05,-0.004719937133788997,0.07267543640136755,0.013935122680663995,0.004085638427734761,0.057820971679685876
-0.0005738006591793528,-0.004351208496093799,-8.316955566391865e-05,-0.004661663818359352,0.07274346008300804,0.015033068847655175,0.004098867797851951,0.05779680175781082
-0.0005664306640621826,-0.004351528930664079,-5.4376220702949916e-05,-0.0046314056396484695,0.07273389282226586,0.014004382324218901,0.00404791870117228,0.05784862060546782
-0.0005360809326168583,-0.004333950805664103,-3.185424804673896e-05,-0.004627056884765656,0.07299976196289111,0.013955401611328043,0.0038628448486331566,0.05787805480956877
-0.0005464263916012202,-0.0043241546630859,-5.465087890607883e-05,-0.004600827026367223,0.07284366455078159,0.013986071777343578,0.003885687255859788,0.05754434509277165
-0.0005449615478512306,-0.004331478881835941,-1.4001464843634535e-05,-0.004641842651367189,0.07292807617187524,0.013884356689453248,0.0038611968994143693,0.057676272583006255
-0.0005523315429684173,-0.004333905029296899,-3.876647949205541e-05,-0.0046733367919921795,0.07304622497558597,0.013912326049804743,0.003669439697265963,0.05770016784667789
-0.0005371795654293323,-0.004321774291992188,-5.414733886703951e-05,-0.004704556274413994,0.072824987792969,0.013769961547851445,0.003813909912109773,0.05773857421874838
